code,area,year,qualification,number,denominator,percent,confidence
E09000011,Greenwich,2004,NVQ2 only,22700,148700,15.3,2.8
E09000011,Greenwich,2005,NVQ2 only,19400,151200,12.8,2.6
E09000011,Greenwich,2006,NVQ2 only,23300,154500,15.1,3
E09000011,Greenwich,2007,NVQ2 only,22000,156400,14.1,2.8
E09000011,Greenwich,2008,NVQ2 only,23800,159700,14.9,3.1
E09000011,Greenwich,2009,NVQ2 only,21800,163400,13.4,2.8
E09000011,Greenwich,2010,NVQ2 only,24200,167600,14.4,2.7
E09000011,Greenwich,2011,NVQ2 only,19000,166900,11.4,2.4
E09000011,Greenwich,2012,NVQ2 only,27300,173900,15.7,3
E09000002,Barking and Dagenham,2007,NVQ2 only,14800,103500,14.3,2.9
E09000003,Barnet,2007,NVQ2 only,23800,214800,11.1,2.5
E09000004,Bexley,2007,NVQ2 only,30100,138000,21.8,3.4
E09000005,Brent,2007,NVQ2 only,21000,189100,11.1,2.8
E09000006,Bromley,2007,NVQ2 only,32700,186900,17.5,3.2
E09000008,Croydon,2007,NVQ2 only,31800,222800,14.3,2.9
E09000009,Ealing,2007,NVQ2 only,18400,215400,8.5,2.2
E09000010,Enfield,2007,NVQ2 only,20400,185800,11,2.7
E09000014,Haringey,2007,NVQ2 only,15400,163500,9.4,2.4
E09000015,Harrow,2007,NVQ2 only,17800,145600,12.2,2.8
E09000016,Havering,2007,NVQ2 only,23100,140000,16.5,3.1
E09000017,Hillingdon,2007,NVQ2 only,21800,164800,13.2,2.9
E09000018,Hounslow,2007,NVQ2 only,18700,160000,11.7,2.7
E09000011,Greenwich,2013,NVQ2 only,29100,176400,16.5,3.3
E09000021,Kingston upon Thames,2007,NVQ2 only,12300,104400,11.8,2.9
E09000024,Merton,2007,NVQ2 only,15200,131400,11.6,2.7
E09000025,Newham,2007,NVQ2 only,18800,177400,10.6,2.4
E09000026,Redbridge,2007,NVQ2 only,16800,166800,10.1,2.6
E09000027,Richmond upon Thames,2007,NVQ2 only,11300,121000,9.3,2.4
E09000029,Sutton,2007,NVQ2 only,22900,117400,19.5,3.7
E09000031,Waltham Forest,2007,NVQ2 only,18000,155600,11.6,2.8
E09000011,Greenwich,2014,NVQ2 only,26100,178900,14.6,3.2
E09000011,Greenwich,2015,NVQ2 only,22800,183200,12.4,3
E09000011,Greenwich,2016,NVQ2 only,25800,182900,14.1,3.3
E09000011,Greenwich,2017,NVQ2 only,24200,189300,12.8,2.9
E09000011,Greenwich,2018,NVQ2 only,24600,194400,12.6,3.1
E09000011,Greenwich,2019,NVQ2 only,22000,195300,11.3,2.8
E09000011,Greenwich,2020,NVQ2 only,22800,197500,11.5,5.6
E09000011,Greenwich,2021,NVQ2 only,19100,202100,9.5,4.9
E09000012,Hackney,2004,NVQ2 only,10800,143600,7.5,2.1
E09000012,Hackney,2005,NVQ2 only,14200,145400,9.7,2.4
E09000012,Hackney,2006,NVQ2 only,18600,150800,12.3,2.5
E09000012,Hackney,2007,NVQ2 only,16200,155400,10.4,2.4
E09000002,Barking and Dagenham,2008,NVQ2 only,14400,108400,13.3,2.7
E09000003,Barnet,2008,NVQ2 only,24500,223100,11,2.4
E09000004,Bexley,2008,NVQ2 only,27500,143500,19.2,3.4
E09000005,Brent,2008,NVQ2 only,18300,198600,9.2,2.3
E09000006,Bromley,2008,NVQ2 only,31500,194200,16.2,3.1
E09000008,Croydon,2008,NVQ2 only,32100,231500,13.9,3.2
E09000009,Ealing,2008,NVQ2 only,22900,225800,10.1,2.6
E09000010,Enfield,2008,NVQ2 only,23300,192600,12.1,2.5
E09000014,Haringey,2008,NVQ2 only,10600,171900,6.2,2
E09000015,Harrow,2008,NVQ2 only,20200,149000,13.6,2.7
E09000016,Havering,2008,NVQ2 only,28300,147100,19.3,3.1
E09000017,Hillingdon,2008,NVQ2 only,27900,170600,16.3,2.9
E09000018,Hounslow,2008,NVQ2 only,16200,163600,9.9,2.5
E09000012,Hackney,2008,NVQ2 only,16700,163500,10.2,2.3
E09000021,Kingston upon Thames,2008,NVQ2 only,9700,106800,9.1,2.5
E09000024,Merton,2008,NVQ2 only,16600,133500,12.5,3.1
E09000025,Newham,2008,NVQ2 only,20400,188500,10.8,2.4
E09000026,Redbridge,2008,NVQ2 only,21000,174800,12,2.6
E09000027,Richmond upon Thames,2008,NVQ2 only,9800,124100,7.9,2.3
E09000029,Sutton,2008,NVQ2 only,25600,122100,20.9,3.7
E09000031,Waltham Forest,2008,NVQ2 only,16000,163900,9.8,2.4
E09000012,Hackney,2009,NVQ2 only,16400,169200,9.7,2.2
E09000012,Hackney,2010,NVQ2 only,19600,174000,11.3,2.5
E09000012,Hackney,2011,NVQ2 only,23400,177800,13.2,2.6
E09000012,Hackney,2012,NVQ2 only,23400,180500,13,2.6
E09000012,Hackney,2013,NVQ2 only,20700,182800,11.3,2.6
E09000012,Hackney,2014,NVQ2 only,22800,188700,12.1,2.5
E09000012,Hackney,2015,NVQ2 only,21300,192200,11.1,2.5
E09000012,Hackney,2016,NVQ2 only,18700,197600,9.5,2.4
E09000012,Hackney,2017,NVQ2 only,15800,199200,7.9,2.4
E09000012,Hackney,2018,NVQ2 only,17400,202600,8.6,2.5
E09000012,Hackney,2019,NVQ2 only,17700,206300,8.6,2.6
E09000012,Hackney,2020,NVQ2 only,15000,208800,7.2,4.8
E09000002,Barking and Dagenham,2009,NVQ2 only,15200,110700,13.7,2.9
E09000003,Barnet,2009,NVQ2 only,27900,227700,12.3,2.9
E09000004,Bexley,2009,NVQ2 only,28300,146000,19.4,3.5
E09000005,Brent,2009,NVQ2 only,17600,205500,8.6,2.6
E09000006,Bromley,2009,NVQ2 only,38400,193500,19.8,3.9
E09000008,Croydon,2009,NVQ2 only,33300,235700,14.2,3.1
E09000009,Ealing,2009,NVQ2 only,23600,227900,10.4,2.5
E09000010,Enfield,2009,NVQ2 only,21900,195000,11.2,2.3
E09000014,Haringey,2009,NVQ2 only,16600,175000,9.5,2.4
E09000015,Harrow,2009,NVQ2 only,18800,151900,12.4,2.9
E09000016,Havering,2009,NVQ2 only,27200,149700,18.2,3.2
E09000017,Hillingdon,2009,NVQ2 only,22400,173200,12.9,3
E09000018,Hounslow,2009,NVQ2 only,20500,167700,12.2,2.8
E09000012,Hackney,2021,NVQ2 only,10700,213000,5,5
E09000021,Kingston upon Thames,2009,NVQ2 only,12200,107200,11.4,2.8
E09000024,Merton,2009,NVQ2 only,12700,135600,9.3,2.5
E09000025,Newham,2009,NVQ2 only,20200,196200,10.3,2.3
E09000026,Redbridge,2009,NVQ2 only,23000,177300,13,2.8
E09000027,Richmond upon Thames,2009,NVQ2 only,12000,122300,9.8,2.6
E09000029,Sutton,2009,NVQ2 only,17200,123000,14,3.1
E09000031,Waltham Forest,2009,NVQ2 only,15800,168500,9.4,2.5
E09000013,Hammersmith and Fulham,2004,NVQ2 only,7400,123300,6,2.2
E09000013,Hammersmith and Fulham,2005,NVQ2 only,8100,125100,6.5,1.9
E09000013,Hammersmith and Fulham,2006,NVQ2 only,7400,127000,5.8,1.9
E09000013,Hammersmith and Fulham,2007,NVQ2 only,8900,128900,6.9,2.2
E09000013,Hammersmith and Fulham,2008,NVQ2 only,9300,129600,7.2,2.2
E09000013,Hammersmith and Fulham,2009,NVQ2 only,10100,132900,7.6,2.3
E09000013,Hammersmith and Fulham,2010,NVQ2 only,11200,134000,8.4,2.3
E09000013,Hammersmith and Fulham,2011,NVQ2 only,8900,134500,6.6,1.9
E09000013,Hammersmith and Fulham,2012,NVQ2 only,9300,131200,7.1,2
E09000013,Hammersmith and Fulham,2013,NVQ2 only,8500,129800,6.6,2
E09000013,Hammersmith and Fulham,2014,NVQ2 only,8800,128000,6.8,2
E09000013,Hammersmith and Fulham,2015,NVQ2 only,6900,126500,5.4,2
E09000002,Barking and Dagenham,2010,NVQ2 only,20200,115200,17.5,3
E09000003,Barnet,2010,NVQ2 only,25100,231100,10.8,2.6
E09000004,Bexley,2010,NVQ2 only,29800,146400,20.3,3.3
E09000005,Brent,2010,NVQ2 only,19100,212500,9,2.6
E09000006,Bromley,2010,NVQ2 only,34100,195500,17.4,3.6
E09000008,Croydon,2010,NVQ2 only,34900,237500,14.7,3.2
E09000009,Ealing,2010,NVQ2 only,22400,227300,9.8,2.5
E09000010,Enfield,2010,NVQ2 only,26000,197300,13.2,2.5
E09000014,Haringey,2010,NVQ2 only,17400,176900,9.8,2.4
E09000015,Harrow,2010,NVQ2 only,18600,155700,11.9,2.8
E09000016,Havering,2010,NVQ2 only,30300,150700,20.1,3.5
E09000017,Hillingdon,2010,NVQ2 only,29200,175300,16.7,3.3
E09000018,Hounslow,2010,NVQ2 only,19700,171800,11.5,2.6
E09000013,Hammersmith and Fulham,2016,NVQ2 only,6400,127100,5,2
E09000021,Kingston upon Thames,2010,NVQ2 only,11100,108100,10.2,2.7
E09000024,Merton,2010,NVQ2 only,13100,135500,9.7,2.3
E09000025,Newham,2010,NVQ2 only,24100,210300,11.5,2.4
E09000026,Redbridge,2010,NVQ2 only,25000,180600,13.8,2.6
E09000027,Richmond upon Thames,2010,NVQ2 only,12100,122600,9.9,2.5
E09000029,Sutton,2010,NVQ2 only,22900,123500,18.5,3.2
E09000031,Waltham Forest,2010,NVQ2 only,18800,174000,10.8,2.5
E09000013,Hammersmith and Fulham,2017,NVQ2 only,8500,129900,6.5,2.4
E09000013,Hammersmith and Fulham,2018,NVQ2 only,8300,126500,6.6,2.4
E09000013,Hammersmith and Fulham,2019,NVQ2 only,7300,126200,5.8,2.5
E09000013,Hammersmith and Fulham,2020,NVQ2 only,10000,124800,8,5.3
E09000013,Hammersmith and Fulham,2021,NVQ2 only,8800,127200,6.9,4.9
E09000019,Islington,2004,NVQ2 only,12200,126700,9.6,2.3
E09000019,Islington,2005,NVQ2 only,12100,130600,9.3,2.3
E09000019,Islington,2006,NVQ2 only,15600,132500,11.8,2.6
E09000019,Islington,2007,NVQ2 only,17500,136100,12.8,2.6
E09000019,Islington,2008,NVQ2 only,13300,140700,9.4,2.2
E09000019,Islington,2009,NVQ2 only,13000,145500,9,2.3
E09000019,Islington,2010,NVQ2 only,10900,146800,7.4,2.1
E09000002,Barking and Dagenham,2011,NVQ2 only,19700,118200,16.7,3
E09000003,Barnet,2011,NVQ2 only,28600,230800,12.4,2.9
E09000004,Bexley,2011,NVQ2 only,27100,145000,18.7,3.4
E09000005,Brent,2011,NVQ2 only,25500,217600,11.7,3
E09000006,Bromley,2011,NVQ2 only,27900,197000,14.2,3
E09000008,Croydon,2011,NVQ2 only,40300,238400,16.9,3.2
E09000009,Ealing,2011,NVQ2 only,19800,226100,8.8,2.5
E09000010,Enfield,2011,NVQ2 only,24300,201800,12,2.6
E09000014,Haringey,2011,NVQ2 only,20600,179400,11.5,2.8
E09000015,Harrow,2011,NVQ2 only,20800,155800,13.4,2.7
E09000016,Havering,2011,NVQ2 only,32000,150100,21.3,3.8
E09000017,Hillingdon,2011,NVQ2 only,28300,181100,15.6,3
E09000018,Hounslow,2011,NVQ2 only,22900,174700,13.1,2.6
E09000019,Islington,2011,NVQ2 only,12000,152500,7.9,2.2
E09000021,Kingston upon Thames,2011,NVQ2 only,15600,108700,14.4,3
E09000024,Merton,2011,NVQ2 only,14900,136100,11,2.5
E09000025,Newham,2011,NVQ2 only,22600,216600,10.4,2.2
E09000026,Redbridge,2011,NVQ2 only,28500,181000,15.7,2.8
E09000027,Richmond upon Thames,2011,NVQ2 only,12800,124900,10.3,2.7
E09000029,Sutton,2011,NVQ2 only,21700,123100,17.6,3.3
E09000031,Waltham Forest,2011,NVQ2 only,25800,176200,14.6,2.8
E09000019,Islington,2012,NVQ2 only,12400,158100,7.9,2.3
E09000019,Islington,2013,NVQ2 only,10800,157900,6.9,2.1
E09000019,Islington,2014,NVQ2 only,12100,163300,7.4,2.3
E09000019,Islington,2015,NVQ2 only,13500,167000,8.1,2.3
E09000019,Islington,2016,NVQ2 only,14400,171300,8.4,2.5
E09000019,Islington,2017,NVQ2 only,14900,174400,8.6,2.5
E09000019,Islington,2018,NVQ2 only,14400,175500,8.2,2.7
E09000019,Islington,2019,NVQ2 only,15000,175500,8.6,2.7
E09000019,Islington,2020,NVQ2 only,14100,181500,7.8,5.2
E09000019,Islington,2021,NVQ2 only,13300,184400,7.2,4.7
E09000020,Kensington and Chelsea,2004,NVQ2 only,6400,116200,5.5,1.8
E09000020,Kensington and Chelsea,2005,NVQ2 only,10500,119000,8.8,2.3
E09000002,Barking and Dagenham,2012,NVQ2 only,21700,119600,18.1,3.1
E09000003,Barnet,2012,NVQ2 only,29000,237600,12.2,2.9
E09000004,Bexley,2012,NVQ2 only,30400,146700,20.7,3.7
E09000005,Brent,2012,NVQ2 only,26800,214200,12.5,2.6
E09000006,Bromley,2012,NVQ2 only,29100,198000,14.7,2.9
E09000008,Croydon,2012,NVQ2 only,38000,238200,16,3.2
E09000009,Ealing,2012,NVQ2 only,26900,230300,11.7,2.6
E09000010,Enfield,2012,NVQ2 only,28500,203900,14,3
E09000014,Haringey,2012,NVQ2 only,16500,181500,9.1,2.5
E09000015,Harrow,2012,NVQ2 only,19300,157000,12.3,2.6
E09000016,Havering,2012,NVQ2 only,33600,151400,22.2,3.8
E09000017,Hillingdon,2012,NVQ2 only,30300,185300,16.4,3.2
E09000018,Hounslow,2012,NVQ2 only,23300,176000,13.2,2.8
E09000020,Kensington and Chelsea,2006,NVQ2 only,8600,116700,7.4,2.2
E09000021,Kingston upon Thames,2012,NVQ2 only,13100,110300,11.9,2.8
E09000024,Merton,2012,NVQ2 only,13600,136600,10,2.4
E09000025,Newham,2012,NVQ2 only,26100,217000,12,2.5
E09000026,Redbridge,2012,NVQ2 only,22700,184000,12.3,2.6
E09000027,Richmond upon Thames,2012,NVQ2 only,12000,125900,9.5,2.6
E09000029,Sutton,2012,NVQ2 only,20300,125100,16.2,3.3
E09000031,Waltham Forest,2012,NVQ2 only,20400,175900,11.6,2.7
E09000020,Kensington and Chelsea,2007,NVQ2 only,7100,114600,6.2,2.1
E09000020,Kensington and Chelsea,2008,NVQ2 only,7500,117300,6.4,2.1
E09000020,Kensington and Chelsea,2009,NVQ2 only,6700,117600,5.7,2
E09000020,Kensington and Chelsea,2010,NVQ2 only,9200,115300,8,2.3
E09000020,Kensington and Chelsea,2011,NVQ2 only,8900,113200,7.9,2.1
E09000020,Kensington and Chelsea,2012,NVQ2 only,9900,110000,9,2.2
E09000020,Kensington and Chelsea,2013,NVQ2 only,8100,108400,7.5,2
E09000020,Kensington and Chelsea,2014,NVQ2 only,6700,107600,6.2,1.8
E09000020,Kensington and Chelsea,2015,NVQ2 only,8100,107600,7.5,2.1
E09000020,Kensington and Chelsea,2016,NVQ2 only,8200,108100,7.6,2.3
E09000020,Kensington and Chelsea,2017,NVQ2 only,8200,104600,7.8,2.6
E09000020,Kensington and Chelsea,2018,NVQ2 only,8500,103800,8.2,2.7
E09000002,Barking and Dagenham,2013,NVQ2 only,17400,121100,14.4,2.9
E09000003,Barnet,2013,NVQ2 only,29700,240200,12.3,2.9
E09000004,Bexley,2013,NVQ2 only,34900,145500,24,4
E09000005,Brent,2013,NVQ2 only,23500,215700,10.9,2.2
E09000006,Bromley,2013,NVQ2 only,30000,201500,14.9,2.8
E09000008,Croydon,2013,NVQ2 only,32900,239800,13.7,2.9
E09000009,Ealing,2013,NVQ2 only,26700,228800,11.7,2.7
E09000010,Enfield,2013,NVQ2 only,27700,204900,13.5,2.9
E09000014,Haringey,2013,NVQ2 only,17700,181900,9.7,2.4
E09000015,Harrow,2013,NVQ2 only,18900,156900,12.1,2.5
E09000016,Havering,2013,NVQ2 only,31900,151100,21.1,3.7
E09000017,Hillingdon,2013,NVQ2 only,29900,188900,15.8,3.1
E09000018,Hounslow,2013,NVQ2 only,22700,178000,12.8,2.7
E09000020,Kensington and Chelsea,2019,NVQ2 only,6500,103300,6.3,2.5
E09000021,Kingston upon Thames,2013,NVQ2 only,13900,111700,12.4,2.8
E09000024,Merton,2013,NVQ2 only,14000,138000,10.1,2.6
E09000025,Newham,2013,NVQ2 only,28700,221600,12.9,2.5
E09000026,Redbridge,2013,NVQ2 only,23400,189200,12.4,2.6
E09000027,Richmond upon Thames,2013,NVQ2 only,11700,125000,9.3,2.4
E09000029,Sutton,2013,NVQ2 only,18900,125200,15.1,3.5
E09000031,Waltham Forest,2013,NVQ2 only,26600,178500,14.9,3.1
E09000020,Kensington and Chelsea,2020,NVQ2 only,4400,103300,4.3,3.9
E09000020,Kensington and Chelsea,2021,NVQ2 only,6900,102100,6.7,5.4
E09000022,Lambeth,2004,NVQ2 only,15800,193400,8.2,2.4
E09000022,Lambeth,2005,NVQ2 only,22200,196600,11.3,2.6
E09000022,Lambeth,2006,NVQ2 only,18700,200400,9.3,2.5
E09000022,Lambeth,2007,NVQ2 only,18100,205100,8.8,2.2
E09000022,Lambeth,2008,NVQ2 only,22200,209600,10.6,2.4
E09000022,Lambeth,2009,NVQ2 only,16700,215700,7.8,2.2
E09000022,Lambeth,2010,NVQ2 only,20200,219400,9.2,2.5
E09000022,Lambeth,2011,NVQ2 only,16400,221800,7.4,2.2
E09000022,Lambeth,2012,NVQ2 only,17400,228700,7.6,2.4
E09000022,Lambeth,2013,NVQ2 only,15400,233800,6.6,2.3
E09000002,Barking and Dagenham,2014,NVQ2 only,18200,124000,14.7,3
E09000003,Barnet,2014,NVQ2 only,30800,243400,12.6,2.8
E09000004,Bexley,2014,NVQ2 only,32800,149000,22,3.8
E09000005,Brent,2014,NVQ2 only,25300,214400,11.8,2.3
E09000006,Bromley,2014,NVQ2 only,30600,202100,15.1,2.8
E09000008,Croydon,2014,NVQ2 only,34000,242900,14,3.1
E09000009,Ealing,2014,NVQ2 only,25800,227900,11.3,2.8
E09000010,Enfield,2014,NVQ2 only,24800,207600,12,2.8
E09000014,Haringey,2014,NVQ2 only,17500,187200,9.4,2.4
E09000015,Harrow,2014,NVQ2 only,14000,157500,8.9,2.3
E09000016,Havering,2014,NVQ2 only,34600,154900,22.4,3.6
E09000017,Hillingdon,2014,NVQ2 only,25400,191000,13.3,2.7
E09000018,Hounslow,2014,NVQ2 only,21900,180900,12.1,2.8
E09000022,Lambeth,2014,NVQ2 only,18300,237900,7.7,2.4
E09000021,Kingston upon Thames,2014,NVQ2 only,13500,112900,12,2.8
E09000024,Merton,2014,NVQ2 only,15000,136700,11,2.8
E09000025,Newham,2014,NVQ2 only,27600,224600,12.3,2.6
E09000026,Redbridge,2014,NVQ2 only,21400,189300,11.3,2.5
E09000027,Richmond upon Thames,2014,NVQ2 only,11500,124500,9.2,2.5
E09000029,Sutton,2014,NVQ2 only,18400,127800,14.4,3.6
E09000031,Waltham Forest,2014,NVQ2 only,25700,178800,14.4,3.2
E09000022,Lambeth,2015,NVQ2 only,15700,237400,6.6,2.4
E09000022,Lambeth,2016,NVQ2 only,23500,244200,9.6,3.1
E09000022,Lambeth,2017,NVQ2 only,11900,242900,4.9,2.2
E09000022,Lambeth,2018,NVQ2 only,20100,243600,8.3,2.6
E09000022,Lambeth,2019,NVQ2 only,20900,244000,8.5,2.6
E09000022,Lambeth,2020,NVQ2 only,11200,243000,4.6,3.5
E09000022,Lambeth,2021,NVQ2 only,9900,243200,4.1,3.7
E09000023,Lewisham,2004,NVQ2 only,18100,170000,10.7,2.4
E09000023,Lewisham,2005,NVQ2 only,17600,172800,10.2,2.4
E09000023,Lewisham,2006,NVQ2 only,26000,175400,14.8,2.9
E09000023,Lewisham,2007,NVQ2 only,25400,178400,14.2,2.8
E09000023,Lewisham,2008,NVQ2 only,19700,186400,10.6,2.4
E09000002,Barking and Dagenham,2015,NVQ2 only,17600,126800,13.9,2.9
E09000003,Barnet,2015,NVQ2 only,29500,243700,12.1,2.8
E09000004,Bexley,2015,NVQ2 only,28300,151500,18.7,3.6
E09000005,Brent,2015,NVQ2 only,25500,220400,11.6,2.3
E09000006,Bromley,2015,NVQ2 only,29700,199900,14.8,2.9
E09000008,Croydon,2015,NVQ2 only,35800,246500,14.5,2.9
E09000009,Ealing,2015,NVQ2 only,19200,226400,8.5,2.2
E09000010,Enfield,2015,NVQ2 only,27100,208900,13,2.9
E09000014,Haringey,2015,NVQ2 only,19700,190400,10.4,2.5
E09000015,Harrow,2015,NVQ2 only,15500,158400,9.8,2.5
E09000016,Havering,2015,NVQ2 only,25800,154100,16.8,3.3
E09000017,Hillingdon,2015,NVQ2 only,27300,195800,13.9,2.9
E09000018,Hounslow,2015,NVQ2 only,22300,180700,12.3,2.8
E09000023,Lewisham,2009,NVQ2 only,24800,188900,13.1,2.9
E09000021,Kingston upon Thames,2015,NVQ2 only,10700,113800,9.4,2.6
E09000024,Merton,2015,NVQ2 only,12800,136800,9.3,2.6
E09000025,Newham,2015,NVQ2 only,23300,229800,10.1,2.3
E09000026,Redbridge,2015,NVQ2 only,21800,191900,11.4,2.5
E09000027,Richmond upon Thames,2015,NVQ2 only,9000,124100,7.3,2.3
E09000029,Sutton,2015,NVQ2 only,22000,129400,17,3.7
E09000031,Waltham Forest,2015,NVQ2 only,22700,183000,12.4,3.3
E09000023,Lewisham,2010,NVQ2 only,19200,190000,10.1,2.8
E09000023,Lewisham,2011,NVQ2 only,20900,193800,10.8,2.7
E09000023,Lewisham,2012,NVQ2 only,18700,196300,9.5,2.5
E09000023,Lewisham,2013,NVQ2 only,19600,197500,9.9,2.4
E09000023,Lewisham,2014,NVQ2 only,21600,202700,10.7,2.5
E09000023,Lewisham,2015,NVQ2 only,22800,207000,11,2.8
E09000023,Lewisham,2016,NVQ2 only,26300,209500,12.6,3
E09000023,Lewisham,2017,NVQ2 only,21600,207400,10.4,2.8
E09000023,Lewisham,2018,NVQ2 only,22700,211400,10.7,2.8
E09000023,Lewisham,2019,NVQ2 only,16100,214600,7.5,2.4
E09000023,Lewisham,2020,NVQ2 only,21700,220000,9.9,4.8
E09000023,Lewisham,2021,NVQ2 only,17300,221300,7.8,4.4
E09000002,Barking and Dagenham,2016,NVQ2 only,20800,128800,16.1,3
E09000003,Barnet,2016,NVQ2 only,28700,250600,11.4,2.8
E09000004,Bexley,2016,NVQ2 only,26600,154400,17.3,3.4
E09000005,Brent,2016,NVQ2 only,26900,220700,12.2,2.5
E09000006,Bromley,2016,NVQ2 only,24000,201600,11.9,2.8
